id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
180,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA,6122,ORANG,2012
181,32,JAWA BARAT,3272,KOTA SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1433,ORANG,2012
182,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8161,ORANG,2012
183,32,JAWA BARAT,3273,KOTA BANDUNG,SD,8609,ORANG,2012
184,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,23750,ORANG,2012
185,32,JAWA BARAT,3273,KOTA BANDUNG,SMA,57107,ORANG,2012
186,32,JAWA BARAT,3273,KOTA BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,9757,ORANG,2012
187,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1925,ORANG,2012
188,32,JAWA BARAT,3274,KOTA CIREBON,SD,2243,ORANG,2012
189,32,JAWA BARAT,3274,KOTA CIREBON,SMP,3498,ORANG,2012
190,32,JAWA BARAT,3274,KOTA CIREBON,SMA,7101,ORANG,2012
191,32,JAWA BARAT,3274,KOTA CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1889,ORANG,2012
192,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1684,ORANG,2012
193,32,JAWA BARAT,3275,KOTA BEKASI,SD,1672,ORANG,2012
194,32,JAWA BARAT,3275,KOTA BEKASI,SMP,8694,ORANG,2012
195,32,JAWA BARAT,3275,KOTA BEKASI,SMA,63857,ORANG,2012
196,32,JAWA BARAT,3275,KOTA BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,17769,ORANG,2012
197,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,3106,ORANG,2012
198,32,JAWA BARAT,3276,KOTA DEPOK,SD,15104,ORANG,2012
199,32,JAWA BARAT,3276,KOTA DEPOK,SMP,11379,ORANG,2012
200,32,JAWA BARAT,3276,KOTA DEPOK,SMA,44000,ORANG,2012
201,32,JAWA BARAT,3276,KOTA DEPOK,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4500,ORANG,2012
202,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1057,ORANG,2012
203,32,JAWA BARAT,3277,KOTA CIMAHI,SD,2758,ORANG,2012
204,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,3056,ORANG,2012
205,32,JAWA BARAT,3277,KOTA CIMAHI,SMA,10888,ORANG,2012
206,32,JAWA BARAT,3277,KOTA CIMAHI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3390,ORANG,2012
207,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1832,ORANG,2012
208,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD,4979,ORANG,2012
209,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,1077,ORANG,2012
210,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA,9926,ORANG,2012
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2935,ORANG,2012
212,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,279,ORANG,2012
213,32,JAWA BARAT,3279,KOTA BANJAR,SD,284,ORANG,2012
214,32,JAWA BARAT,3279,KOTA BANJAR,SMP,1370,ORANG,2012
215,32,JAWA BARAT,3279,KOTA BANJAR,SMA,2615,ORANG,2012
216,32,JAWA BARAT,3279,KOTA BANJAR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,519,ORANG,2012
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,24128,ORANG,2013
